particle,diagonal size,msd power,straightness,dead/alive (0/1)
92,7.189579449316518,0.4829390811990783,0.0917968781771155,0.0
93,6.020866879705773,0.5254047028104853,0.2236199704073782,0.0
95,7.315256290159253,1.1078779869302933,0.0608711381495849,0.0
96,3.3991684077946855,0.8128131598620504,0.1586952737606592,0.0
97,3.857274062130259,0.6473552753270686,0.0415441999376741,0.0
98,4.598522942300868,1.046379125811772,0.0718742474936741,0.0
99,9.703223192743309,1.498673957365018,0.0814579083475545,0.0
100,6.119004165412135,0.9572717183223636,0.0539131459355503,0.0
102,3.729026397502861,-0.2041813504041829,0.2093663475532376,0.0
104,9.6116085561769,0.7069814138824964,0.0664826322036783,0.0
105,7.040284052242983,1.2260515868404502,0.0631799521921834,0.0
107,8.99963363811983,1.3106362893527357,0.0649138818849763,0.0
108,8.635871198548866,1.128591343053574,0.0806655404790797,0.0
109,3.291272304872769,0.0,-17.93875057047854,0.0
110,2.7620238299015485,0.4954390122192458,0.4547423814276615,0.0
111,8.464128568394637,1.1192167180590888,0.057035852892111,0.0
112,1.586090171528354,0.3462140336268445,-8.64482587089814,0.0
113,2.036356418263379,0.4303503493497458,0.1349275612109854,0.0
114,5.926437740937323,1.100835821636245,0.0588676750460784,0.0
115,5.823374474836282,0.5657710779768003,0.0837632021397968,0.0
116,9.12686315842964,1.0662305783170858,0.0550385672791986,0.0
117,5.155434054142155,1.634161438314074,0.1726002473026213,0.0
118,8.838821947591653,0.8791096941117843,0.050739106510155,0.0
119,3.719335566381371,0.8802612289131676,0.1507550854714568,0.0
120,7.247227782647413,0.4586155184503514,0.0463296831806996,0.0
121,11.575336226528057,1.3018774684800276,0.0690443777640194,0.0
122,3.651634560581188,0.8093797894079509,0.0946064557488615,0.0
123,8.820728037907934,1.1594568294143264,0.0673228889848221,0.0
124,4.077944974888062,0.3623860481360242,0.0349155893785273,0.0
125,8.455509586695179,0.8689744189011885,0.15820444749283,0.0
126,6.695138251732739,0.6087827368953995,0.0417419726072129,0.0
127,4.573650522681867,0.3285167788439429,0.1550522122725537,0.0
128,7.021050748280118,0.9552546884504844,0.0736280810385117,0.0
129,8.349740583510428,0.8710982296491286,0.050582070115354,0.0
130,7.453545165816665,1.022973617935019,0.0784701194393647,0.0
131,5.8858904055565855,0.9760776667641472,0.0508504361658546,0.0
132,8.043043411182397,0.7408201386070081,0.0471730426049944,0.0
133,12.541339333869074,1.3033872851372297,0.0674640486530164,0.0
134,5.788995820934615,0.8388874013053453,0.0639629934702425,0.0
135,26.90391871944716,1.4671935982555209,0.1269507709369214,1.0
136,4.056214932691512,1.2500538017523914,0.2103080309714343,0.0
137,4.07559902252077,0.6018083796132573,0.0592070241343322,0.0
139,6.952110640552497,0.8563667539358166,0.0464088415208631,0.0
140,8.10246845117561,0.8395502744528693,0.0844297485285393,0.0
141,6.088081307364401,1.1156613268163047,0.0519334668436648,0.0
143,8.363932539442393,0.6619523208352311,0.0599249327046837,0.0
144,6.16565957892253,0.4896642918534178,0.2223386414356094,0.0
145,6.780294802308724,1.2195909240654412,0.0558848637366595,0.0
146,12.678539073935372,1.181155547946279,0.0698332167751323,0.0
147,7.830186460597846,1.1750975836824304,0.0537164588982755,0.0
148,10.232189616781229,1.0472586706607434,0.0724615291450551,0.0
149,6.056593075289623,1.3467943411021484,0.0599433306372231,0.0
150,3.0395209094883686,0.4743077197873272,0.041205499927512,0.0
153,11.424995381452776,1.4869133893867728,0.0765903743822889,0.0
154,5.3656537717561505,0.8751910958399943,0.0450138693104232,0.0
155,3.2257291735044125,0.6824946169378066,0.0383914563783741,0.0
156,6.7829465287774235,0.9118216000154128,0.0532950528899317,0.0
157,5.993696613509865,0.9698220206944196,0.0497327678318954,0.0
159,5.898405913727314,0.4467066529033604,0.0616247161957032,0.0
160,11.283104906429363,1.3675181260969818,0.0747325645751647,0.0
162,8.304738412493444,1.0158037068939014,0.0611812446419441,0.0
